agency_name,county,population,nibrs_start_date,murder_and_nonnegligent_manslaughter,negligent_manslaughter,rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,months_reported,report_year,agency_type,university_pd,nibrs_eligible_months,has_preliminary_nibrs_reporting,nibrs_contribution_percentage
ALAMO PD,Hidalgo County,19351,2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ALPINE PD,Brewster County,5983,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ALTON PD,Hidalgo County,17432,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ANTHONY PD,El Paso County,5681,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
BREWSTER CO SO,Brewster County,3196,2015-01-01,1,0,2,0,19,4,9,3,1,0,0,11,2017-12-31,Sheriff's Office,False,12,False,91.67
BROWNSVILLE ISD PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
BROWNSVILLE PD,Cameron County,185216,2018-03-01,0,0,0,0,2,0,0,0,0,0,0,2,2017-12-31,Police Department,False,0,True,100.0
CAMERON CO CONSTABLE PCT 3,Cameron County,0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
CAMERON CO CONSTABLE PCT 4,Cameron County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
CAMERON CO SO,Cameron County,104705,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
CLINT PD,El Paso County,1175,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
COMBES PD,Cameron County,3079,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
DEL RIO PD,Val Verde County,35994,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
DONNA PD,Hidalgo County,16641,2017-04-01,0,0,18,7,256,164,560,43,0,0,0,10,2017-12-31,Police Department,False,9,True,100.0
EAGLE PASS PD,Maverick County,29257,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
EDCOUCH PD,Hidalgo County,3397,2015-07-01,0,0,1,0,12,5,11,3,0,0,0,9,2017-12-31,Police Department,False,12,False,75.0
EDINBURG CISD PD,Hidalgo County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
EDINBURG PD,Hidalgo County,89595,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
EL PASO CO SO,El Paso County,94214,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
EL PASO COMM COLLEGE PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,True,0,False,0.0
EL PASO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
EL PASO PD,El Paso County,688667,2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
ELSA PD,Hidalgo County,6798,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HARLINGEN PD,Cameron County,65617,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 1,Hidalgo County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 4,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT. 5,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
HIDALGO CO SO,Hidalgo County,261765,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
HIDALGO PD,Hidalgo County,14048,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HORIZON CITY PD,El Paso County,19695,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
HUDSPETH CO SO,Hudspeth County,4166,2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
JEFF DAVIS CO SO,Jeff Davis County,2175,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
KINNEY CO SO,Kinney County,1913,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
LA FERIA PD,Cameron County,7279,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LA GRULLA PD,Starr County,1720,2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LA JOYA PD,Hidalgo County,4343,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LA VILLA PD,Hidalgo County,2702,2015-07-01,0,0,1,0,13,8,12,0,0,0,0,10,2017-12-31,Police Department,False,12,False,83.33
LAGUNA VISTA PD,Cameron County,3207,2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LAREDO ISD PD,Webb County,0,2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
LAREDO PD,Webb County,260669,2019-01-01,0,0,1,0,0,0,2,0,0,0,0,3,2017-12-31,Police Department,False,0,True,100.0
LOS FRESNOS PD,Cameron County,6779,2017-10-01,0,0,3,1,15,7,49,2,0,0,0,3,2017-12-31,Police Department,False,3,False,100.0
MARFA PD,Presidio County,1709,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MAVERICK CO SO,Maverick County,28918,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
MCALLEN ISD PD,Hidalgo County,0,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MCALLEN PD,Hidalgo County,144162,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MERCEDES PD,Hidalgo County,16762,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
MISSION PD,Hidalgo County,84511,2021-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PALM VALLEY PD,Cameron County,1288,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PALMHURST PD,Hidalgo County,2746,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PALMVIEW PD,Hidalgo County,5791,2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PENITAS PD,Hidalgo County,4935,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PHARR PD,Hidalgo County,78467,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
POINT ISABEL ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PORT ISABEL PD,Cameron County,5017,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,1,2017-12-31,Police Department,False,0,True,100.0
PORT OF BROWNSVILLE PD,Cameron County,0,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PRESIDIO CO SO,Presidio County,2928,2018-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
PRESIDIO PD,Presidio County,3882,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
PRIMERA PD,Cameron County,4860,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RANCHO VIEJO PD,Cameron County,2504,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY ISD PD,Starr County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY PD,Starr County,14592,2019-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
RIO HONDO PD,Cameron County,2650,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ROMA ISD PD,Starr County,0,2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
ROMA PD,Starr County,10345,2016-12-01,0,0,2,0,113,27,82,22,0,0,0,12,2017-12-31,Police Department,False,12,False,100.0
SAN BENITO PD,Cameron County,24503,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
SAN ELIZARIO MARSHALS OFFICE,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,,False,0,False,0.0
SAN JUAN PD,Hidalgo County,37114,2016-11-01,1,1,25,22,447,113,725,53,1,0,0,12,2017-12-31,Police Department,False,12,False,100.0
SANTA ROSA ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
SOCORRO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
SOCORRO PD,El Paso County,33473,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
SOUTH PADRE ISLAND PD,Cameron County,2881,2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
STARR CO SO,Starr County,37903,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
SUL ROSS STATE UNIV PD,Brewster County,0,2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,True,0,False,0.0
SULLIVAN CITY PD,Hidalgo County,4223,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
TERRELL CO SO,Terrell County,782,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
TSTC: HARLINGEN PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
TX A&M UNIV INTERNATIONAL PD,Webb County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,True,0,False,0.0
UNITED ISD PD,Webb County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,False,0,False,0.0
UNIV OF TX RIO GRANDE VALLEY PD,Hidalgo County,0,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Police Department,True,0,False,0.0
UNIV OF TX: EL PASO PD,El Paso County,0,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,True,0,False,0.0
VAL VERDE CO SO,Val Verde County,12815,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
WEBB CO CONSTABLE PCT 1 (PD),Webb County,0,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Constable,False,0,False,0.0
WEBB CO SO,Webb County,8958,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
WESLACO PD,Hidalgo County,40554,2021-01-01,0,0,1,0,0,0,0,0,0,0,0,1,2017-12-31,Police Department,False,0,True,100.0
ZAPATA CO SO,Zapata County,14380,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-31,Sheriff's Office,False,0,False,0.0
ALAMO PD,Hidalgo County,19840,2018-08-01,0,0,8,6,109,44,357,18,2,0,0,6,2018-12-31,Police Department,False,5,True,100.0
ALPINE PD,Brewster County,6073,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ALTON PD,Hidalgo County,17805,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ANTHONY PD,El Paso County,5761,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
BREWSTER CO SO,Brewster County,3250,2015-01-01,0,0,3,1,16,7,8,0,1,0,0,11,2018-12-31,Sheriff's Office,False,12,False,91.67
BROWNSVILLE ISD PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
BROWNSVILLE PD,Cameron County,184461,2018-03-01,2,0,3,118,2169,453,3482,118,7,0,0,12,2018-12-31,Police Department,False,10,True,100.0
CAMERON CO CONSTABLE PCT 3,Cameron County,0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Constable,False,0,False,0.0
CAMERON CO CONSTABLE PCT 4,Cameron County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Constable,False,0,False,0.0
CAMERON CO SO,Cameron County,104557,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
CLINT PD,El Paso County,1166,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
COMBES PD,Cameron County,3090,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
DEL RIO PD,Val Verde County,36007,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
DONNA PD,Hidalgo County,16761,2017-04-01,1,3,22,16,371,136,745,45,2,0,0,12,2018-12-31,Police Department,False,12,False,100.0
EAGLE PASS PD,Maverick County,29329,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
EDCOUCH PD,Hidalgo County,3393,2015-07-01,0,0,1,1,17,6,19,0,1,0,0,12,2018-12-31,Police Department,False,12,False,100.0
EDINBURG CISD PD,Hidalgo County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
EDINBURG PD,Hidalgo County,92391,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
EL PASO CO SO,El Paso County,84623,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
EL PASO COMM COLLEGE PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,True,0,False,0.0
EL PASO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
EL PASO PD,El Paso County,688442,2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
ELSA PD,Hidalgo County,7274,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
HARLINGEN PD,Cameron County,65525,2018-01-01,2,0,49,50,1328,464,2295,81,12,1,0,12,2018-12-31,Police Department,False,12,False,100.0
HIDALGO CO CONSTABLE PCT 1,Hidalgo County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 4,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT. 5,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Constable,False,0,False,0.0
HIDALGO CO SO,Hidalgo County,262432,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
HIDALGO PD,Hidalgo County,14133,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
HORIZON CITY PD,El Paso County,19978,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
HUDSPETH CO SO,Hudspeth County,4558,2018-04-01,0,0,0,0,20,20,4,8,0,0,0,9,2018-12-31,Sheriff's Office,False,9,False,100.0
JEFF DAVIS CO SO,Jeff Davis County,2265,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
KINNEY CO SO,Kinney County,2008,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
LA FERIA PD,Cameron County,7384,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
LA GRULLA PD,Starr County,1711,2018-05-01,0,0,0,0,10,0,1,1,0,0,0,7,2018-12-31,Police Department,False,8,False,87.5
LA JOYA PD,Hidalgo County,4328,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
LA VILLA PD,Hidalgo County,2785,2015-07-01,0,0,0,0,3,2,7,0,0,0,0,6,2018-12-31,Police Department,False,12,False,50.0
LAGUNA VISTA PD,Cameron County,3206,2018-04-01,0,0,0,0,21,13,5,1,0,0,0,9,2018-12-31,Police Department,False,9,False,100.0
LAREDO ISD PD,Webb County,0,2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
LAREDO PD,Webb County,264214,2019-01-01,0,0,1,0,0,0,0,0,0,0,0,1,2018-12-31,Police Department,False,0,True,100.0
LOS FRESNOS PD,Cameron County,7947,2017-10-01,0,0,2,0,55,11,117,8,1,0,0,12,2018-12-31,Police Department,False,12,False,100.0
MARFA PD,Presidio County,1742,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
MAVERICK CO SO,Maverick County,29282,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
MCALLEN ISD PD,Hidalgo County,0,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
MCALLEN PD,Hidalgo County,144363,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
MERCEDES PD,Hidalgo County,16869,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
MISSION PD,Hidalgo County,85368,2021-10-01,0,0,1,0,0,0,0,0,0,0,0,1,2018-12-31,Police Department,False,0,True,100.0
PALM VALLEY PD,Cameron County,1265,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
PALMHURST PD,Hidalgo County,2765,2019-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
PALMVIEW PD,Hidalgo County,5842,2018-02-01,0,0,0,9,144,41,193,18,0,0,0,11,2018-12-31,Police Department,False,11,False,100.0
PENITAS PD,Hidalgo County,4961,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
PHARR PD,Hidalgo County,80814,2021-01-01,0,0,2,0,0,0,0,0,0,0,0,1,2018-12-31,Police Department,False,0,True,100.0
POINT ISABEL ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
PORT ISABEL PD,Cameron County,5064,2018-01-01,0,1,1,0,69,17,143,9,0,0,0,12,2018-12-31,Police Department,False,12,False,100.0
PORT OF BROWNSVILLE PD,Cameron County,0,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
PRESIDIO CO SO,Presidio County,2990,2018-10-01,0,0,0,0,0,0,0,1,0,0,0,1,2018-12-31,Sheriff's Office,False,3,False,33.33
PRESIDIO PD,Presidio County,4050,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
PRIMERA PD,Cameron County,4954,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
RANCHO VIEJO PD,Cameron County,2483,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY ISD PD,Starr County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY PD,Starr County,14617,2019-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
RIO HONDO PD,Cameron County,2835,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ROMA ISD PD,Starr County,0,2019-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ROMA PD,Starr County,11506,2016-12-01,0,0,4,2,119,17,49,18,0,0,0,12,2018-12-31,Police Department,False,12,False,100.0
SAN BENITO PD,Cameron County,24559,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
