agency_name,county,population,nibrs_start_date,murder_and_nonnegligent_manslaughter,negligent_manslaughter,rape,robbery,assault,burglary,larceny_theft,motor_vehicle_theft,arson,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,months_reported,report_year,agency_type,university_pd,nibrs_eligible_months,has_preliminary_nibrs_reporting,nibrs_contribution_percentage
SAN ELIZARIO MARSHALS OFFICE,El Paso County,9161,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,,False,0,False,0.0
SAN JUAN PD,Hidalgo County,37398,2016-11-01,1,1,20,14,462,100,726,47,1,0,0,12,2018-12-31,Police Department,False,12,False,100.0
SANTA ROSA ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
SOCORRO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
SOCORRO PD,El Paso County,34327,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
SOUTH PADRE ISLAND PD,Cameron County,2830,2018-01-01,0,0,23,1,189,37,402,29,0,0,0,12,2018-12-31,Sheriff's Office,False,12,False,100.0
STARR CO SO,Starr County,36924,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
SUL ROSS STATE UNIV PD,Brewster County,0,2018-04-01,0,0,0,0,4,4,4,0,0,0,0,5,2018-12-31,Police Department,True,9,False,55.56
SULLIVAN CITY PD,Hidalgo County,4172,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
TERRELL CO SO,Terrell County,783,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
TSTC: HARLINGEN PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
TX A&M UNIV INTERNATIONAL PD,Webb County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,True,0,False,0.0
UNITED ISD PD,Webb County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
UNIV OF TX RIO GRANDE VALLEY PD,Hidalgo County,0,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,True,0,False,0.0
UNIV OF TX: EL PASO PD,El Paso County,0,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,True,0,False,0.0
VAL VERDE CO SO,Val Verde County,13092,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
WEBB CO CONSTABLE PCT 1 (PD),Webb County,0,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Constable,False,0,False,0.0
WEBB CO SO,Webb County,8569,2019-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
WESLACO PD,Hidalgo County,40856,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Police Department,False,0,False,0.0
ZAPATA CO SO,Zapata County,14316,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2018-12-31,Sheriff's Office,False,0,False,0.0
ALAMO PD,Hidalgo County,19903,2018-08-01,1,1,11,10,243,109,859,29,2,0,0,12,2019-12-31,Police Department,False,12,False,100.0
ALPINE PD,Brewster County,6021,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
ALTON PD,Hidalgo County,18096,2019-09-01,2,0,2,3,55,15,108,5,1,1,0,4,2019-12-31,Police Department,False,4,False,100.0
ANTHONY PD,El Paso County,5738,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
BREWSTER CO SO,Brewster County,3189,2015-01-01,0,0,1,0,21,5,4,3,0,0,0,11,2019-12-31,Sheriff's Office,False,12,False,91.67
BROWNSVILLE ISD PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
BROWNSVILLE PD,Cameron County,184418,2018-03-01,0,1,83,144,2536,635,3835,121,27,0,0,12,2019-12-31,Police Department,False,12,False,100.0
CAMERON CO CONSTABLE PCT 3,Cameron County,0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Constable,False,0,False,0.0
CAMERON CO CONSTABLE PCT 4,Cameron County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Constable,False,0,False,0.0
CAMERON CO SO,Cameron County,103269,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
CLINT PD,El Paso County,1142,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
COMBES PD,Cameron County,3064,2019-10-01,0,0,0,0,10,0,5,0,0,0,0,3,2019-12-31,Police Department,False,3,False,100.0
DEL RIO PD,Val Verde County,35947,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
DONNA PD,Hidalgo County,16715,2017-04-01,0,0,19,18,295,82,670,36,6,0,1,12,2019-12-31,Police Department,False,12,False,100.0
EAGLE PASS PD,Maverick County,29847,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
EDCOUCH PD,Hidalgo County,3378,2015-07-01,0,0,0,0,9,6,5,0,0,0,0,4,2019-12-31,Police Department,False,12,False,33.33
EDINBURG CISD PD,Hidalgo County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
EDINBURG PD,Hidalgo County,100896,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
EL PASO CO SO,El Paso County,82448,2019-10-01,0,1,11,4,320,42,109,34,1,0,0,6,2019-12-31,Sheriff's Office,False,3,True,100.0
EL PASO COMM COLLEGE PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,True,0,False,0.0
EL PASO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
EL PASO PD,El Paso County,686793,2019-08-01,30,1,119,132,3084,427,3875,397,4,0,0,6,2019-12-31,Sheriff's Office,False,5,True,100.0
ELSA PD,Hidalgo County,7226,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
HARLINGEN PD,Cameron County,65481,2018-01-01,0,0,59,54,1237,447,2671,106,10,0,0,12,2019-12-31,Police Department,False,12,False,100.0
HIDALGO CO CONSTABLE PCT 1,Hidalgo County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 4,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT. 5,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Constable,False,0,False,0.0
HIDALGO CO SO,Hidalgo County,252804,2019-09-01,1,0,53,48,981,290,692,124,0,0,0,5,2019-12-31,Sheriff's Office,False,4,True,100.0
HIDALGO PD,Hidalgo County,14281,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
HORIZON CITY PD,El Paso County,20131,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
HUDSPETH CO SO,Hudspeth County,4972,2018-04-01,0,0,0,0,32,3,9,2,1,0,0,12,2019-12-31,Sheriff's Office,False,12,False,100.0
JEFF DAVIS CO SO,Jeff Davis County,2227,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
KINNEY CO SO,Kinney County,2007,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
LA FERIA PD,Cameron County,7341,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
LA GRULLA PD,Starr County,1709,2018-05-01,0,0,0,0,18,2,1,0,0,0,0,10,2019-12-31,Police Department,False,12,False,83.33
LA JOYA PD,Hidalgo County,4383,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
LA VILLA PD,Hidalgo County,2856,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,12,False,0.0
LAGUNA VISTA PD,Cameron County,3163,2018-04-01,0,0,2,2,23,8,17,2,0,0,0,12,2019-12-31,Police Department,False,12,False,100.0
LAREDO ISD PD,Webb County,0,2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
LAREDO PD,Webb County,264916,2019-01-01,4,1,116,166,2260,723,3909,272,39,0,44,12,2019-12-31,Police Department,False,12,False,100.0
LOS FRESNOS PD,Cameron County,7992,2017-10-01,0,0,1,1,59,12,108,4,0,0,0,12,2019-12-31,Police Department,False,12,False,100.0
MARFA PD,Presidio County,1682,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
MAVERICK CO SO,Maverick County,28793,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
MCALLEN ISD PD,Hidalgo County,0,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
MCALLEN PD,Hidalgo County,144915,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
MERCEDES PD,Hidalgo County,16882,2020-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
MISSION PD,Hidalgo County,85705,2021-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
PALM VALLEY PD,Cameron County,1249,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
PALMHURST PD,Hidalgo County,2771,2019-10-01,0,0,0,2,11,1,30,0,0,0,0,4,2019-12-31,Police Department,False,3,True,100.0
PALMVIEW PD,Hidalgo County,5873,2018-02-01,2,0,5,4,213,63,209,16,1,0,0,12,2019-12-31,Police Department,False,12,False,100.0
PENITAS PD,Hidalgo County,4915,2019-01-01,0,0,1,0,45,28,65,6,2,0,0,12,2019-12-31,Police Department,False,12,False,100.0
PHARR PD,Hidalgo County,80896,2021-01-01,0,0,1,0,0,0,1,0,0,0,0,2,2019-12-31,Police Department,False,0,True,100.0
POINT ISABEL ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
PORT ISABEL PD,Cameron County,5058,2018-01-01,1,0,0,1,25,32,128,0,0,0,0,12,2019-12-31,Police Department,False,12,False,100.0
PORT OF BROWNSVILLE PD,Cameron County,0,2019-09-01,0,0,0,0,0,1,0,0,0,0,0,1,2019-12-31,Police Department,False,4,False,25.0
PRESIDIO CO SO,Presidio County,1180,2018-10-01,0,0,1,0,2,1,0,0,0,0,0,4,2019-12-31,Sheriff's Office,False,12,False,33.33
PRESIDIO PD,Presidio County,3936,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
PRIMERA PD,Cameron County,5103,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
RANCHO VIEJO PD,Cameron County,2480,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY ISD PD,Starr County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
RIO GRANDE CITY PD,Starr County,14607,2019-07-01,0,0,0,0,19,31,108,14,2,0,0,6,2019-12-31,Police Department,False,6,False,100.0
RIO HONDO PD,Cameron County,2806,2019-01-01,1,0,0,0,17,8,10,0,0,0,0,12,2019-12-31,Police Department,False,12,False,100.0
ROMA ISD PD,Starr County,0,2019-03-01,0,0,0,0,31,1,2,0,0,0,0,8,2019-12-31,Police Department,False,10,False,80.0
ROMA PD,Starr County,11527,2016-12-01,0,0,5,1,132,27,65,19,2,0,0,12,2019-12-31,Police Department,False,12,False,100.0
SAN BENITO PD,Cameron County,24394,2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
SAN ELIZARIO MARSHALS OFFICE,El Paso County,9129,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,,False,0,False,0.0
SAN JUAN PD,Hidalgo County,37542,2016-11-01,1,1,28,18,515,101,719,48,1,0,0,12,2019-12-31,Police Department,False,12,False,100.0
SANTA ROSA ISD PD,Cameron County,0,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
SOCORRO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
SOCORRO PD,El Paso County,34841,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
SOUTH PADRE ISLAND PD,Cameron County,2805,2018-01-01,0,0,21,6,151,19,321,29,0,0,0,12,2019-12-31,Sheriff's Office,False,12,False,100.0
STARR CO SO,Starr County,36709,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
SUL ROSS STATE UNIV PD,Brewster County,0,2018-04-01,0,0,0,0,3,5,1,0,0,0,0,7,2019-12-31,Police Department,True,12,False,58.33
SULLIVAN CITY PD,Hidalgo County,4152,2019-09-01,0,0,0,0,15,2,17,2,0,0,0,4,2019-12-31,Police Department,False,4,False,100.0
TERRELL CO SO,Terrell County,797,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
TSTC: HARLINGEN PD,Cameron County,0,2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
TX A&M UNIV INTERNATIONAL PD,Webb County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,True,0,False,0.0
UNITED ISD PD,Webb County,0,2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,False,0,False,0.0
UNIV OF TX RIO GRANDE VALLEY PD,Hidalgo County,0,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Police Department,True,0,False,0.0
UNIV OF TX: EL PASO PD,El Paso County,0,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,True,0,False,0.0
VAL VERDE CO SO,Val Verde County,12980,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
WEBB CO CONSTABLE PCT 1 (PD),Webb County,0,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Constable,False,0,False,0.0
WEBB CO SO,Webb County,7760,2019-09-01,1,0,1,0,43,26,55,24,3,5,6,6,2019-12-31,Sheriff's Office,False,4,True,100.0
WESLACO PD,Hidalgo County,41729,2021-01-01,0,0,2,0,0,0,1,0,0,0,0,2,2019-12-31,Police Department,False,0,True,100.0
ZAPATA CO SO,Zapata County,14114,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2019-12-31,Sheriff's Office,False,0,False,0.0
ALAMO PD,Hidalgo County,20078,2018-08-01,2,0,18,6,292,101,607,46,0,0,0,12,2020-12-31,Police Department,False,12,False,100.0
ALPINE PD,Brewster County,5978,2020-04-01,0,0,0,0,19,17,4,5,1,0,0,9,2020-12-31,Police Department,False,9,False,100.0
ALTON PD,Hidalgo County,18632,2019-09-01,2,0,4,8,106,34,149,16,2,1,0,12,2020-12-31,Police Department,False,12,False,100.0
ANTHONY PD,El Paso County,5389,2020-12-01,0,0,0,0,0,0,2,0,0,0,0,1,2020-12-31,Police Department,False,1,False,100.0
BREWSTER CO SO,Brewster County,3188,2015-01-01,0,0,1,0,11,10,6,3,0,0,0,12,2020-12-31,Sheriff's Office,False,12,False,100.0
BROWNSVILLE ISD PD,Cameron County,0,2020-10-01,0,0,0,0,0,1,2,0,1,0,0,3,2020-12-31,Police Department,False,3,False,100.0
BROWNSVILLE PD,Cameron County,183627,2018-03-01,7,0,85,152,2401,404,2904,128,14,1,0,12,2020-12-31,Police Department,False,12,False,100.0
CAMERON CO CONSTABLE PCT 3,Cameron County,0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Constable,False,0,False,0.0
CAMERON CO CONSTABLE PCT 4,Cameron County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Constable,False,0,False,0.0
CAMERON CO SO,Cameron County,103897,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Sheriff's Office,False,0,False,0.0
CLINT PD,El Paso County,1137,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
COMBES PD,Cameron County,3002,2019-10-01,0,0,2,0,24,8,26,7,0,0,0,12,2020-12-31,Police Department,False,12,False,100.0
DEL RIO PD,Val Verde County,35733,2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
DONNA PD,Hidalgo County,16400,2017-04-01,1,0,17,22,169,81,436,37,3,0,4,12,2020-12-31,Police Department,False,12,False,100.0
EAGLE PASS PD,Maverick County,30029,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,1,2020-12-31,Police Department,False,0,True,100.0
EDCOUCH PD,Hidalgo County,3329,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,12,False,0.0
EDINBURG CISD PD,Hidalgo County,0,2020-12-01,0,0,0,0,1,0,0,0,0,0,0,1,2020-12-31,Police Department,False,1,False,100.0
EDINBURG PD,Hidalgo County,103491,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,1,2020-12-31,Police Department,False,0,True,100.0
EL PASO CO SO,El Paso County,84959,2019-10-01,5,1,49,22,1329,115,432,64,3,1,0,12,2020-12-31,Sheriff's Office,False,12,False,100.0
EL PASO COMM COLLEGE PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Sheriff's Office,True,0,False,0.0
EL PASO ISD PD,El Paso County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Sheriff's Office,False,0,False,0.0
EL PASO PD,El Paso County,685288,2019-08-01,23,15,308,296,6657,881,7591,543,16,0,0,12,2020-12-31,Sheriff's Office,False,12,False,100.0
ELSA PD,Hidalgo County,7274,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
HARLINGEN PD,Cameron County,65014,2018-01-01,3,3,26,67,1136,317,2039,127,11,0,0,12,2020-12-31,Police Department,False,12,False,100.0
HIDALGO CO CONSTABLE PCT 1,Hidalgo County,0,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT 4,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Constable,False,0,False,0.0
HIDALGO CO CONSTABLE PCT. 5,Hidalgo County,0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Constable,False,0,False,0.0
HIDALGO CO SO,Hidalgo County,256027,2019-09-01,15,0,112,70,2999,674,1988,355,8,0,0,12,2020-12-31,Sheriff's Office,False,12,False,100.0
HIDALGO PD,Hidalgo County,14370,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
HORIZON CITY PD,El Paso County,19973,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
HUDSPETH CO SO,Hudspeth County,5068,2018-04-01,0,0,1,0,14,5,6,4,0,0,0,12,2020-12-31,Sheriff's Office,False,12,False,100.0
JEFF DAVIS CO SO,Jeff Davis County,2259,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Sheriff's Office,False,0,False,0.0
KINNEY CO SO,Kinney County,1977,2022-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Sheriff's Office,False,0,False,0.0
LA FERIA PD,Cameron County,7232,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
LA GRULLA PD,Starr County,1710,2018-05-01,0,0,0,0,14,0,1,1,0,0,0,10,2020-12-31,Police Department,False,12,False,83.33
LA JOYA PD,Hidalgo County,4326,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,0,False,0.0
LA VILLA PD,Hidalgo County,2921,2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Police Department,False,12,False,0.0
LAGUNA VISTA PD,Cameron County,3183,2018-04-01,0,0,0,0,14,5,13,1,0,0,0,10,2020-12-31,Police Department,False,12,False,83.33
LAREDO ISD PD,Webb County,0,2020-09-01,0,0,0,0,0,0,2,0,0,0,0,2,2020-12-31,Police Department,False,4,False,50.0
LAREDO PD,Webb County,265515,2019-01-01,12,0,95,155,2097,640,3077,226,60,0,0,12,2020-12-31,Police Department,False,12,False,100.0
LOS FRESNOS PD,Cameron County,7929,2017-10-01,0,0,2,1,22,9,98,5,0,0,0,12,2020-12-31,Police Department,False,12,False,100.0
MARFA PD,Presidio County,1589,2021-01-01,0,0,0,0,6,1,0,0,0,0,0,4,2020-12-31,Police Department,False,0,True,100.0
MAVERICK CO SO,Maverick County,28989,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-31,Sheriff's Office,False,0,False,0.0
MCALLEN ISD PD,Hidalgo County,0,2020-11-01,0,0,0,0,0,1,0,0,0,0,0,1,2020-12-31,Police Department,False,2,False,50.0
MCALLEN PD,Hidalgo County,144569,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,1,2020-12-31,Police Department,False,0,True,100.0
MERCEDES PD,Hidalgo County,16699,2020-07-01,0,0,4,3,148,29,199,27,2,0,0,6,2020-12-31,Police Department,False,6,False,100.0
